Group of category,Category,sub-Category,Level,Levelname,Data,Indicator,Group of Modality,Modality,years,Comments
Service coverage indicators,Child Health,immunization,National,Rwanda,87,Pentavalent3 Coverage (Percent),,,2005,
Service coverage indicators,Child Health,immunization,National,Rwanda,90,Pentavalent3 Coverage (Percent),,,2008,
Service coverage indicators,Child Health,immunization,National,Rwanda,96.8,Pentavalent3 Coverage (Percent),,,2010,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.1,Pentavalent3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,Kigali City,99.1,Pentavalent3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,South,98.6,Pentavalent3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,West,96.3,Pentavalent3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,North,100,Pentavalent3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,province,East,98,Pentavalent3 Coverage (Percent),,,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.7,Pentavalent3 Coverage (Percent),Place of residence,Urban,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98,Pentavalent3 Coverage (Percent),Place of residence,Rural,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,95.7,Pentavalent3 Coverage (Percent),Wealth quintile,Q1 (Lowest),2015,worst off for populatin
Service coverage indicators,Child Health,immunization,National,Rwanda,98.2,Pentavalent3 Coverage (Percent),Wealth quintile,Q2 (Second),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.7,Pentavalent3 Coverage (Percent),Wealth quintile,Q3 (Middle),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,100,Pentavalent3 Coverage (Percent),Wealth quintile,Q4 (Fourth),2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.9,Pentavalent3 Coverage (Percent),Wealth quintile,Q5 (Highest),2015,best off for population
Service coverage indicators,Child Health,immunization,National,Rwanda,95.4,Pentavalent3 Coverage (Percent),Education status,No Education,2015,
Service coverage indicators,Child Health,immunization,National,Rwanda,98.5,Pentavalent3 Coverage (Percent),Education status,Primary,2015,
